Jaar;Dag;Van tot datum;Weeknummer;Tijden Van ;Tijden Tot;Evenement;Locatie
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Agnietenstraat
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Prins hendriklaan 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Neude 
2011;;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Domplein 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Janskerkhof 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Tolsteegbarriere 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Choorstraat
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Moreelsepark 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Korte Minrebroederstraat 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Clarenburg
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Lucasbolwerk 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Mariaplaats 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Bemuurde Weerd
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Wilhelminapark 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Lepelenburg 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Griftpark 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Biltstraat 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Maliesingel 
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Springweg 
2011;;04-01-2011 t/m 16-03-2011;1;;;Objectvergunning Verkiezingsborden;diverse locaties
2011;zaterdag;08-01-2011;1;10:00;15:00;Opendag van de Dierenkliniek;Burchtwal
2011;zondag;09-01-2011;1;13:00;17:00;Culturele zondag de Nieuwjaarsduik;Muntplein/Muntbrug
2011;dinsdag;11-01-2011;2;14;17;Ontdekkingsloop Nieuw-Welgelegen;Route
2011;dinsdag;11-01-2011;2;21:30;23:00;Fakkeltocht eeuwfeest Unitas;Domplein 
2011;zaterdag;29-01-2011;4;12:00;16:00;Uitreiking cheque actie WKZ;Wkc Kanaleneiland
2011;zaterdag;01-02-2011;;16:00;04:00;Filmopnamen Prosopagnosia;Moreelsepark
2011;donderdag;03-02-2011;5;19:00;19:30;Chinees Nieuwjaar 2011;Jacobskerkhof
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Neude 
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Domplein 
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Janskerkhof 
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Tolsteegbarriere 
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Choorstraat
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Moreelsepark
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Korte Minrebroederstraat 
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Clarenburg
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Lucasbolwerk
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Mariaplaats 
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Biltstraat 
2011;maandag;14-02-2011 t/m 17-02-2011;7;08:00;14:00;Streetwise;Tiberiusweg
2011;dinsdag;22-02-2011;8;18:00;20:00;Lampionnenoptocht speeltuin Noordsepark;Noordse Park
2011;dinsdag;22-02-2011 t/m 07-03-2011;8;;;Objectvergunning Aboriginal ;Neude 
2011;dinsdag;22-02-2011 t/m 07-03-2011;8;;;Objectvergunning Aboriginal ;Domplein 
