year;day;date_from_to;weeknr;time_from;time_to;event_naam;location;openbareruimtenaam;rdx;rdy;lon;lat
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Agnietenstraat;Agnietenstraat;137093;455092;5.125957;52.083810
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Prins hendriklaan ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Neude ;;;;;
2011;;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Domplein ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Janskerkhof ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Tolsteegbarriere ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Choorstraat;Choorstraat;136661;455925;5.119599;52.091275
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Moreelsepark ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Korte Minrebroederstraat ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Clarenburg;Clarenburg;136277;455934;5.114007;52.091343
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Lucasbolwerk ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Mariaplaats ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Bemuurde Weerd;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Wilhelminapark ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Lepelenburg ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Griftpark ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Biltstraat ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Maliesingel ;;;;;
2011;maandag;03-01-2011 t/m 31-01-2011;1;;;Objectvergunning Rietveldjaar Centraal museum;Springweg ;;;;;
2011;;04-01-2011 t/m 16-03-2011;1;;;Objectvergunning Verkiezingsborden;diverse locaties;;;;;
2011;zaterdag;08-01-2011;1;10:00;15:00;Opendag van de Dierenkliniek;Burchtwal;Burchtwal;129195;456213;5.010641;52.093571
2011;zondag;09-01-2011;1;13:00;17:00;Culturele zondag de Nieuwjaarsduik;Muntplein/Muntbrug;;;;;
2011;dinsdag;11-01-2011;2;14;17;Ontdekkingsloop Nieuw-Welgelegen;Route;;;;;
2011;dinsdag;11-01-2011;2;21:30;23:00;Fakkeltocht eeuwfeest Unitas;Domplein ;;;;;
2011;zaterdag;29-01-2011;4;12:00;16:00;Uitreiking cheque actie WKZ;Wkc Kanaleneiland;;;;;
2011;zaterdag;01-02-2011;;16:00;04:00;Filmopnamen Prosopagnosia;Moreelsepark;Moreelsepark;136296;455579;5.114306;52.088158
2011;donderdag;03-02-2011;5;19:00;19:30;Chinees Nieuwjaar 2011;Jacobskerkhof;Jacobskerkhof;136429;456319;5.116200;52.094809
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Neude ;;;;;
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Domplein ;;;;;
2011;maandag;07-02-2011 t/m 07-03-2011;6;;;Objectvergunning Museum Speelklok Sing Song;Janskerkhof ;;;;;
