"";"location_adress";"year";"day";"date_from_to";"weeknr";"time_from";"time_to";"event_naam";"location";"openbareruimtenaam";"rdx";"rdy";"lon.x";"lat.x";"nday";"location_ch";"lon.y";"lat.y"
"1";",utrecht";2012;"maandag";"29-04-2012 t/m 30-04-2012";"17";"";"";"Koninginnedag Cafe de Binnenstad";"";"";NA;NA;NA;NA;"maandag";"";5,1214201;52,0907374
"2";"1e daalsedijk 129,utrecht";2013;"woensdag";"31-10-2013 t/m 03-11-2013";"44";"";"";"Impakt Festival 2013 Capitalism Catch22";"1e Daalsedijk 129";"";NA;NA;NA;NA;"woensdag";"1e Daalsedijk 129";5,1070254;52,0959946
"3";"a.h.g.fokkerstraat,utrecht";2012;"zaterdag";"01/09/2012";"35";"14:00";"00:00";"Meet the Fokkers";"A.H.G.Fokkerstraat";"";NA;NA;NA;NA;"zaterdag";"A.H.G.Fokkerstraat";5,0831504;52,1135079
"4";"a2 park leidsche rijn,utrecht";2013;"vrijdag";"23-08-2013 t/m 31-08-2013";"34";"18:00 14:00 18:00 14:00";"19:00 15:00 19:00 15:00";"Geluk de bestemming waar je ziel naar zocht";"A2 park Leidsche Rijn";"";NA;NA;NA;NA;"vrijdag";"A2 park Leidsche Rijn";5,0740705;52,0865956
"5";"a2 park leidsche rijn,utrecht";2013;"zaterdag";"13-04-2013";"15";"21:00";"22:30";"Openingsspektakel The Art of Making Peace";"A2 park Leidsche Rijn";"";NA;NA;NA;NA;"zaterdag";"A2 park Leidsche Rijn";5,0740705;52,0865956
"6";"aakplein,utrecht";2013;"zaterdag";"21-09-2013";"";"12:00";"23:00";"Buurtfeest Schepenbuurt";"Aakplein";"Aakplein";134109;456782;5,082317;52,098895;"zaterdag";"Aakplein";5,0814562;52,0986642
"7";"aakplein,utrecht";2016;"zaterdag";"28/05/2016";"21";"09:00";"14:00";"Vrijmarkt Schepenbuurt";"Aakplein";"Aakplein";134109;456782;5,082317;52,098895;"zaterdag";"Aakplein";5,0814562;52,0986642
"8";"aakplein,utrecht";2013;"zaterdag";"22-06-2013 t/m 23-06-2013";"25";"12:00 12:00 ";"20:00 19:00";"Koffieritueel de spelende mens";"Aakplein";"Aakplein";134109;456782;5,082317;52,098895;"zaterdag";"Aakplein";5,0814562;52,0986642
"9";"aakplein,utrecht";2015;"zaterdag";"30/05/2015";"22";"09:00";"17:00";"Kleedjesmarkt Schepenbuurt";"Aakplein";"Aakplein";134109;456782;5,082317;52,098895;"zaterdag";"Aakplein";5,0814562;52,0986642
"10";"ab harrewijnstraat,utrecht";2013;"zondag";"23-06-2013";"25";"13:00";"18:00";"Cultuurplein vrede van utrecht";"Ab harrewijnstraat";"Ab Harrewijnstraat";132400;455531;5,057464;52,087577;"zondag";"Ab harrewijnstraat";5,0565679;52,0877008
